3-2 [1,2]
17-5 [1,2,3,4,7]
17-5 [1,2,3,5,6]
18-3 [1,8,9]
18-3 [2,7,9]
18-3 [3,6,9]
18-3 [3,7,8]
18-3 [4,5,9]
18-3 [4,6,8]
18-3 [5,6,7]
18-4 [1,2,6,9]
18-4 [1,2,7,8]
18-4 [1,3,5,9]
18-4 [1,3,6,8]
18-4 [1,4,5,8]
18-4 [1,4,6,7]
18-4 [2,3,4,9]
18-4 [2,3,5,8]
18-4 [2,3,6,7]
18-4 [2,4,5,7]
18-4 [3,4,5,6]
18-5 [1,2,3,4,8]
18-5 [1,2,3,5,7]
18-5 [1,2,4,5,6]
19-3 [2,8,9]
19-3 [3,7,9]
19-3 [4,6,9]
19-3 [4,7,8]
19-3 [5,6,8]
19-4 [1,2,7,9]
19-4 [1,3,6,9]
19-4 [1,3,7,8]
19-4 [1,4,5,9]
19-4 [1,4,6,8]
19-4 [1,5,6,7]
19-4 [2,3,5,9]
19-4 [2,3,6,8]
19-4 [2,4,5,8]
19-4 [2,4,6,7]
19-4 [3,4,5,7]
19-5 [1,2,3,4,9]
19-5 [1,2,3,5,8]
19-5 [1,2,3,6,7]
19-5 [1,2,4,5,7]
19-5 [1,3,4,5,6]
20-3 [3,8,9]
20-3 [4,7,9]
20-3 [5,6,9]
20-3 [5,7,8]
20-4 [1,2,8,9]
20-4 [1,3,7,9]
20-4 [1,4,6,9]
20-4 [1,4,7,8]
20-4 [1,5,6,8]
20-4 [2,3,6,9]
20-4 [2,3,7,8]
20-4 [2,4,5,9]
20-4 [2,4,6,8]
20-4 [2,5,6,7]
20-4 [3,4,5,8]
20-4 [3,4,6,7]
20-5 [1,2,3,5,9]
20-5 [1,2,3,6,8]
20-5 [1,2,4,5,8]
20-5 [1,2,4,6,7]
20-5 [1,3,4,5,7]
20-5 [2,3,4,5,6]
21-3 [4,8,9]
21-3 [5,7,9]
21-3 [6,7,8]
21-4 [1,3,8,9]
21-4 [1,4,7,9]
21-4 [1,5,6,9]
21-4 [1,5,7,8]
21-4 [2,3,7,9]
21-4 [2,4,6,9]
21-4 [2,4,7,8]
21-4 [2,5,6,8]
21-4 [3,4,5,9]
21-4 [3,4,6,8]
21-4 [3,5,6,7]
21-5 [1,2,3,6,9]
21-5 [1,2,3,7,8]
21-5 [1,2,4,5,9]
21-5 [1,2,4,6,8]
21-5 [1,2,5,6,7]
21-5 [1,3,4,5,8]
21-5 [1,3,4,6,7]
21-5 [2,3,4,5,7]
21-6 [1,2,3,4,5,6]
22-3 [5,8,9]
22-3 [6,7,9]
22-4 [1,4,8,9]
22-4 [1,5,7,9]
22-4 [1,6,7,8]
22-4 [2,3,8,9]
22-4 [2,4,7,9]
22-4 [2,5,6,9]
22-4 [2,5,7,8]
22-4 [3,4,6,9]
22-4 [3,4,7,8]
22-4 [3,5,6,8]
22-4 [4,5,6,7]
22-5 [1,2,3,7,9]
22-5 [1,2,4,6,9]
22-5 [1,2,4,7,8]
22-5 [1,2,5,6,8]
22-5 [1,3,4,5,9]
22-5 [1,3,4,6,8]
22-5 [1,3,5,6,7]
22-5 [2,3,4,5,8]
22-5 [2,3,4,6,7]
22-6 [1,2,3,4,5,7]
23-3 [6,8,9]
23-4 [1,5,8,9]
23-4 [1,6,7,9]
23-4 [2,4,8,9]
23-4 [2,5,7,9]
23-4 [2,6,7,8]
23-4 [3,4,7,9]
23-4 [3,5,6,9]
23-4 [3,5,7,8]
23-4 [4,5,6,8]
23-5 [1,2,3,8,9]
23-5 [1,2,4,7,9]
23-5 [1,2,5,6,9]
23-5 [1,2,5,7,8]
23-5 [1,3,4,6,9]
23-5 [1,3,4,7,8]
23-5 [1,3,5,6,8]
23-5 [1,4,5,6,7]
23-5 [2,3,4,5,9]
23-5 [2,3,4,6,8]
23-5 [2,3,5,6,7]
23-6 [1,2,3,4,5,8]
23-6 [1,2,3,4,6,7]
24-3 [7,8,9]
24-4 [1,6,8,9]
24-4 [2,5,8,9]
24-4 [2,6,7,9]
24-4 [3,4,8,9]
24-4 [3,5,7,9]
24-4 [3,6,7,8]
24-4 [4,5,6,9]
24-4 [4,5,7,8]
24-5 [1,2,4,8,9]
24-5 [1,2,5,7,9]
24-5 [1,2,6,7,8]
24-5 [1,3,4,7,9]
24-5 [1,3,5,6,9]
24-5 [1,3,5,7,8]
24-5 [1,4,5,6,8]
24-5 [2,3,4,6,9]
24-5 [2,3,4,7,8]
24-5 [2,3,5,6,8]
24-5 [2,4,5,6,7]
24-6 [1,2,3,4,5,9]
24-6 [1,2,3,4,6,8]
24-6 [1,2,3,5,6,7]
25-4 [1,7,8,9]
25-4 [2,6,8,9]
25-4 [3,5,8,9]
25-4 [3,6,7,9]
25-4 [4,5,7,9]
25-4 [4,6,7,8]
25-5 [1,2,5,8,9]
25-5 [1,2,6,7,9]
25-5 [1,3,4,8,9]
25-5 [1,3,5,7,9]
25-5 [1,3,6,7,8]
25-5 [1,4,5,6,9]
25-5 [1,4,5,7,8]
25-5 [2,3,4,7,9]
25-5 [2,3,5,6,9]
25-5 [2,3,5,7,8]
25-5 [2,4,5,6,8]
25-5 [3,4,5,6,7]
25-6 [1,2,3,4,6,9]
25-6 [1,2,3,4,7,8]
25-6 [1,2,3,5,6,8]
25-6 [1,2,4,5,6,7]
26-4 [2,7,8,9]
26-4 [3,6,8,9]
26-4 [4,5,8,9]
26-4 [4,6,7,9]
26-4 [5,6,7,8]
26-5 [1,2,6,8,9]
26-5 [1,3,5,8,9]
26-5 [1,3,6,7,9]
26-5 [1,4,5,7,9]
26-5 [1,4,6,7,8]
26-5 [2,3,4,8,9]
26-5 [2,3,5,7,9]
26-5 [2,3,6,7,8]
26-5 [2,4,5,6,9]
26-5 [2,4,5,7,8]
26-5 [3,4,5,6,8]
26-6 [1,2,3,4,7,9]
26-6 [1,2,3,5,6,9]
26-6 [1,2,3,5,7,8]
26-6 [1,2,4,5,6,8]
26-6 [1,3,4,5,6,7]
27-4 [3,7,8,9]
27-4 [4,6,8,9]
27-4 [5,6,7,9]
27-5 [1,2,7,8,9]
27-5 [1,3,6,8,9]
27-5 [1,4,5,8,9]
27-5 [1,4,6,7,9]
27-5 [1,5,6,7,8]
27-5 [2,3,5,8,9]
27-5 [2,3,6,7,9]
27-5 [2,4,5,7,9]
27-5 [2,4,6,7,8]
27-5 [3,4,5,6,9]
27-5 [3,4,5,7,8]
27-6 [1,2,3,4,8,9]
27-6 [1,2,3,5,7,9]
27-6 [1,2,3,6,7,8]
27-6 [1,2,4,5,6,9]
27-6 [1,2,4,5,7,8]
27-6 [1,3,4,5,6,8]
27-6 [2,3,4,5,6,7]
28-4 [4,7,8,9]
28-4 [5,6,8,9]
28-5 [1,3,7,8,9]
28-5 [1,4,6,8,9]
28-5 [1,5,6,7,9]
28-5 [2,3,6,8,9]
28-5 [2,4,5,8,9]
28-5 [2,4,6,7,9]
28-5 [2,5,6,7,8]
28-5 [3,4,5,7,9]
28-5 [3,4,6,7,8]
28-6 [1,2,3,5,8,9]
28-6 [1,2,3,6,7,9]
28-6 [1,2,4,5,7,9]
28-6 [1,2,4,6,7,8]
28-6 [1,3,4,5,6,9]
28-6 [1,3,4,5,7,8]
28-6 [2,3,4,5,6,8]
28-7 [1,2,3,4,5,6,7]
29-4 [5,7,8,9]
29-5 [1,4,7,8,9]
29-5 [1,5,6,8,9]
29-5 [2,3,7,8,9]
29-5 [2,4,6,8,9]
29-5 [2,5,6,7,9]
29-5 [3,4,5,8,9]
29-5 [3,4,6,7,9]
29-5 [3,5,6,7,8]
29-6 [1,2,3,6,8,9]
29-6 [1,2,4,5,8,9]
29-6 [1,2,4,6,7,9]
29-6 [1,2,5,6,7,8]
29-6 [1,3,4,5,7,9]
29-6 [1,3,4,6,7,8]
29-6 [2,3,4,5,6,9]
29-6 [2,3,4,5,7,8]
29-7 [1,2,3,4,5,6,8]
30-4 [6,7,8,9]
30-5 [1,5,7,8,9]
30-5 [2,4,7,8,9]
30-5 [2,5,6,8,9]
30-5 [3,4,6,8,9]
30-5 [3,5,6,7,9]
30-5 [4,5,6,7,8]
30-6 [1,2,3,7,8,9]
30-6 [1,2,4,6,8,9]
30-6 [1,2,5,6,7,9]
30-6 [1,3,4,5,8,9]
30-6 [1,3,4,6,7,9]
30-6 [1,3,5,6,7,8]
30-6 [2,3,4,5,7,9]
30-6 [2,3,4,6,7,8]
30-7 [1,2,3,4,5,6,9]
30-7 [1,2,3,4,5,7,8]
31-5 [1,6,7,8,9]
31-5 [2,5,7,8,9]
31-5 [3,4,7,8,9]
31-5 [3,5,6,8,9]
31-5 [4,5,6,7,9]
31-6 [1,2,4,7,8,9]
31-6 [1,2,5,6,8,9]
31-6 [1,3,4,6,8,9]
31-6 [1,3,5,6,7,9]
31-6 [1,4,5,6,7,8]
31-6 [2,3,4,5,8,9]
31-6 [2,3,4,6,7,9]
31-6 [2,3,5,6,7,8]
31-7 [1,2,3,4,5,7,9]
31-7 [1,2,3,4,6,7,8]
32-5 [2,6,7,8,9]
32-5 [3,5,7,8,9]
32-5 [4,5,6,8,9]
32-6 [1,2,5,7,8,9]
32-6 [1,3,4,7,8,9]
32-6 [1,3,5,6,8,9]
32-6 [1,4,5,6,7,9]
32-6 [2,3,4,6,8,9]
32-6 [2,3,5,6,7,9]
32-6 [2,4,5,6,7,8]
32-7 [1,2,3,4,5,8,9]
32-7 [1,2,3,4,6,7,9]
32-7 [1,2,3,5,6,7,8]
33-5 [3,6,7,8,9]
33-5 [4,5,7,8,9]
33-6 [1,2,6,7,8,9]
33-6 [1,3,5,7,8,9]
33-6 [1,4,5,6,8,9]
33-6 [2,3,4,7,8,9]
33-6 [2,3,5,6,8,9]
33-6 [2,4,5,6,7,9]
33-6 [3,4,5,6,7,8]
33-7 [1,2,3,4,6,8,9]
33-7 [1,2,3,5,6,7,9]
33-7 [1,2,4,5,6,7,8]
34-5 [4,6,7,8,9]
34-6 [1,3,6,7,8,9]
34-6 [1,4,5,7,8,9]
34-6 [2,3,5,7,8,9]
34-6 [2,4,5,6,8,9]
34-6 [3,4,5,6,7,9]
34-7 [1,2,3,4,7,8,9]
34-7 [1,2,3,5,6,8,9]
34-7 [1,2,4,5,6,7,9]
34-7 [1,3,4,5,6,7,8]
35-5 [5,6,7,8,9]
35-6 [1,4,6,7,8,9]
35-6 [2,3,6,7,8,9]
35-6 [2,4,5,7,8,9]
35-6 [3,4,5,6,8,9]
35-7 [1,2,3,5,7,8,9]
35-7 [1,2,4,5,6,8,9]
35-7 [1,3,4,5,6,7,9]
35-7 [2,3,4,5,6,7,8]
36-6 [1,5,6,7,8,9]
36-6 [2,4,6,7,8,9]
36-6 [3,4,5,7,8,9]
36-7 [1,2,3,6,7,8,9]
36-7 [1,2,4,5,7,8,9]
36-7 [1,3,4,5,6,8,9]
36-7 [2,3,4,5,6,7,9]
36-8 [1,2,3,4,5,6,7,8]
37-6 [2,5,6,7,8,9]
37-6 [3,4,6,7,8,9]
37-7 [1,2,4,6,7,8,9]
37-7 [1,3,4,5,7,8,9]
37-7 [2,3,4,5,6,8,9]
37-8 [1,2,3,4,5,6,7,9]
38-6 [3,5,6,7,8,9]
38-7 [1,2,5,6,7,8,9]
38-7 [1,3,4,6,7,8,9]
38-7 [2,3,4,5,7,8,9]
38-8 [1,2,3,4,5,6,8,9]
39-6 [4,5,6,7,8,9]
39-7 [1,3,5,6,7,8,9]
39-7 [2,3,4,6,7,8,9]
39-8 [1,2,3,4,5,7,8,9]
40-7 [1,4,5,6,7,8,9]
40-7 [2,3,5,6,7,8,9]
40-8 [1,2,3,4,6,7,8,9]
41-7 [2,4,5,6,7,8,9]
41-8 [1,2,3,5,6,7,8,9]
42-7 [3,4,5,6,7,8,9]
42-8 [1,2,4,5,6,7,8,9]
43-8 [1,3,4,5,6,7,8,9]
44-8 [2,3,4,5,6,7,8,9]
45-9 [1,2,3,4,5,6,7,8,9]
